Seguidores de Instagram;;
IG_ACCOUNT,FOLLOW,UNIQUE_USERS;;
101;;
;;
Seguidores de Instagram por sexo y edad;;
Edad;Mujeres;Hombres
18-24;30,20%;5,70%
25-34;22,60%;15,10%
35-44;20,80%;1,90%
45-54;3,70%;0%
55-64;0%;0%
65+;0%;0%
;;
Seguidores de Instagram por principales ciudades;;
Principales ciudades;Valor;
Bogotá, Colombia;26,70%;
Ciudad Ho Chi Minh, Vietnam;7,90%;
Thai Binh, Thái Bình Province, Vietnam;6,90%;
Barranquilla, Colombia;2%;
Pedro Juan Caballero, Paraguay;2%;
Jombang, East Java, Indonesia;1%;
Arroyo Seco, Santa Fe, Argentina;1%;
Bangkok, Tailandia;1%;
Ciudad de México, México;1%;
Baden-Baden, Alemania;1%;
;;
Seguidores de Instagram por principales países;;
Principales países;Valor;
Colombia;32,70%;
Vietnam;15,80%;
Estados Unidos;7,90%;
Argentina;3%;
Paraguay;3%;
México;3%;
Canadá;2%;
Indonesia;2%;
Hungría;2%;
Alemania;2%;
